id	hisat_out.SRR941816.fastq.bam	hisat_out.SRR941817.fastq.bam	hisat_out.SRR941818.fastq.bam	hisat_out.SRR941819.fastq.bam
YJR055W	59.2231435321737	43.4604457202567	190.902295385796	126.05015312454
YNCJ0026W	0	0	0	0
YJR056C	825.759058113377	781.751474252024	362.714361233012	342.993613944325
YNCJ0027C	1.34598053482213	0	0	0
YJR057W	298.134688463102	111.602132219918	92.2694427698014	85.7484034860813
YJR058C	92.199666635316	102.48080410579	168.63036092412	154.347126274946
YJR059W	650.108598319089	454.993308281206	311.807082463467	412.449820768051
YJR060W	217.375856373774	219.984972164262	184.538885539603	177.499195216188
YJR061W	203.243060758142	150.770188239409	149.54013138554	153.489642240086
YJR062C	189.110265142509	208.717449199751	76.3609181543184	84.0334354163597
YJR063W	34.9954939053754	42.9238970076609	1504.94642862469	1537.46887450544
YJR064W	611.748153076658	681.416864996617	1816.75351108816	1790.42666478938
YJR065C	1720.16312350268	1547.94303583877	432.711869541138	558.222106694389
YJR066W	700.582868374919	510.257825678569	178.17547569341	198.078812052848
YJR067C	117.100306529525	108.91938865694	149.54013138554	72.8861429631691
YJR068W	249.006398942094	397.046047320863	330.897312002046	289.829603782955
YJR069C	11.4408345459881	21.9984972164262	251.354688924631	234.093141517002
YJR070C	183.726343003221	308.515509742563	5641.16282865027	4305.42733903614
YJR072C	364.087734669386	408.313570285374	900.422493236338	907.21810888274
YJR073C	10960.3194950566	9834.40135316771	680.884853542673	613.958568960342
YJR074W	889.693133517428	632.590932150403	130.449901846961	83.1759513814989
YJR075W	323.035328357311	248.422053931838	499.527672926166	459.611442685396
YJR076C	360.722783332331	577.862963465635	356.350951386819	480.191059522055
YJR077C	1817.74671227729	3400.64574043194	1450.85744493205	1305.09070105816
YJR078W	59.8961337995848	32.1929227557457	12.7268196923864	14.5772285926338
YJR079W	2.0189708022332	10.7309742519152	0	1.71496806972163
YJR080C	430.040780875671	726.486956854661	73.1792132312218	120.047764880514
YJR082C	178.342420863932	138.429567849706	276.808328309404	248.670370109636
YJR083C	74.0289294152172	115.357973208089	76.3609181543184	72.8861429631691
YJR084W	113.73535519247	202.815413361198	98.6328526159946	163.779450658415
YJR085C	1604.40879750798	1380.0032887963	162.266951077927	192.076423808822
YJR086W	16.8247566852766	28.4370817675754	28.6353443078694	25.7245210458244
YJR088C	294.096746858636	346.610468336862	279.990033232501	385.867815687366
YJR089W	111.716384390237	131.990983298557	299.08026277108	257.245210458244
YJR090C	446.192547293536	305.296217466988	343.624131694433	391.012719896531
YJR091C	607.710211472192	571.960927627082	120.904787077671	144.914801891477
YJR092W	216.702866106363	297.784535490648	60.4523935388354	80.6034992769164
YJR093C	257.082282151027	172.768685455835	286.353443078694	278.682311329764
YJR094C	1121.20178550683	96.5787682672371	111.359672308381	12.8622605229122
YNCJ0028C	20.189708022332	19.3157536534474	0	3.42993613944325
YJR094W-A	403.794160446639	1326.88496624932	3423.51449725194	3634.87482377499
YJR095W	814.318223567389	2541.09470285353	57.2706886157388	107.185504357602
YJR096W	498.012797884188	951.300867432285	95.451147692898	144.057317856617
YJR097W	21.5356885571541	15.0233639526813	528.163017234036	504.200612498158
YJR098C	203.916051025553	141.648860125281	92.2694427698014	138.054929612591
YJR099W	204.589041292964	233.398689979156	44.5438689233524	64.311302614561
YJR100C	193.821197014387	306.36931489218	209.992524924376	234.950625551863
YNCJ0029W	0	0	0	0
YJR101W	92.872656902727	272.566745998647	267.263213540114	234.093141517002
YJR102C	67.9720170085176	109.455937369535	85.9060329236082	102.898084183298
YJR103W	1996.08913314122	1716.95588030644	264.081508617018	228.090753272976
YJR104C	9971.69679222975	9196.44493389135	2949.44046371055	3115.23949864933
YJR105W	469.074216385512	909.450067849816	2061.7447901666	1949.91869527349
YJR106W	478.496080129267	175.451429018814	95.451147692898	54.0214941962312
YJR107W	193.148206746976	113.748327070301	66.8158033850286	78.8885312071948
YJR107C-A	238.911544930928	216.765679888688	89.0877378467048	37.7292975338758
YJR108W	54.5122116602963	19.3157536534474	3.1817049230966	5.14490420916488
YJR109C	470.420196920335	269.347453723072	384.986295694689	264.10508273713
YJR110W	58.5501532647627	42.9238970076609	181.357180616506	156.062094344668
YJR111C	122.484228668814	104.626998956173	203.629115078182	220.373396959229
YJR112W	102.294520646482	121.796557759238	130.449901846961	126.9076371594
YJR112W-A	159.498693376422	192.084439109283	124.086492000767	105.47053628788
YJR113C	484.552992535967	752.777843771853	318.17049230966	373.005555164454
YJR115W	180.361391666166	45.6066405706397	15.908524615483	30.0119412201285
YJR116W	122.484228668814	91.7498298538752	44.5438689233524	72.0286589283083
YJR117W	1034.38604101081	683.563059847	372.259476002302	447.606666197344
YJR118C	73.3559391478061	154.526029227579	44.5438689233524	70.3136908585867
