	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YJR124C	YJR124C	303.103582634365	5.29318786761377	0.507666656134172	10.4265029102381	1.87668605120261e-25	1.02726637400876e-23
YDL167C	YDL167C	521.497244153689	4.49173874766978	0.43115402969258	10.4179444892872	2.05343081659685e-25	1.11360595303775e-23
YML080W	YML080W	288.853453778967	5.0324221148498	0.484397346753478	10.3890373235486	2.7814625349798e-25	1.49458954746575e-23
YBL081W	YBL081W	357.327314741391	4.72836856550274	0.455421926443883	10.3823911211824	2.98210976869498e-25	1.58783790138604e-23
YOR078W	YOR078W	905.358295193004	4.23932066316116	0.408373670384947	10.3809843057831	3.0263862418239e-25	1.59689587552816e-23
YHR169W	YHR169W	483.461943107294	4.45696784612862	0.42943393551862	10.3787043302622	3.09953094870155e-25	1.62088863987009e-23
YLR363W-A	YLR363W-A	426.046798173758	4.66182468252313	0.449660434375986	10.3674335701618	3.48765778365028e-25	1.8077178441451e-23
YDR321W	YDR321W	470.516024255024	4.757663475428	0.459463861747951	10.3548154088295	3.97953455941095e-25	2.0445731503921e-23
YBR195C	YBR195C	207.33488381149	5.21828918644292	0.50413439808385	10.3509881616429	4.14188527146319e-25	2.10948017695303e-23
YKL068W-A	YKL068W-A	235.250177839857	5.10871092061961	0.495726169138718	10.3055098533442	6.65379069589006e-25	3.35959069877828e-23
YBR169C	YBR169C	4152.9143134302	-4.14000614881578	0.401899782507967	-10.3010907917914	6.96668020473491e-25	3.48750820163524e-23
YPL211W	YPL211W	929.809504861835	4.82241454129781	0.468782456983102	10.2871053928361	8.05618369644251e-25	3.99873456864947e-23
YPR010C	YPR010C	2470.68042587822	4.49369423810345	0.439035997675135	10.2353662613072	1.37673255407582e-24	6.7760693859009e-23
YLL012W	YLL012W	332.393173136735	4.6141764580734	0.451086142548695	10.2290361481794	1.46974853973415e-24	7.17359766435245e-23
YBR034C	YBR034C	963.876283543196	4.48824813103372	0.440428296938365	10.1906443392347	2.18312411052343e-24	1.05674032358146e-22
YCL040W	YCL040W	5515.02667367048	-4.02667601648458	0.395347503131177	-10.1851560578809	2.30988972358867e-24	1.1089364025458e-22
YDR528W	YDR528W	160.059415153721	5.9359520203729	0.58485536691399	10.1494358369218	3.33284466429129e-24	1.56163769590033e-22
YJR097W	YJR097W	267.230670560507	4.82661245613319	0.475499448822124	10.1506163005853	3.29277379970993e-24	1.56163769590033e-22
